sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
3103-661	Willow_Whitehorse	Willow	2020	11014247	Willow_Whitehorse		Willow_2020	2051	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
ROC_ROC_2009_006	Humboldt/Rock	Rock	2009	1309718	Humboldt	Rock	Rock_2009	2052	-116.4271066	41.36591453	YES	Rock	0.000000664	0.000000591	-0.066621372	0.0000209	0.0000205	8.8	7.6	10.4	508	284	2009	yes
Y170019MOK	NF_Mokelumne_R_OOB	NF_Marshall_Canyon	2017	3336674	Carson		NF_Marshall_Canyon_2017	2053	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
MAR_WIC_2017_001	Humboldt/Upper	Wildcat	2017	566525	Humboldt	Upper	Wildcat_2017	2054	-115.2425249	41.62573785	YES	Wildcat	0.000000696	0.000000596	-0.114832792	0.0000172	0.0000192	42.7	40.8	44.6	1130	674	2000	yes
Y160041IPL	Independence	Independence_Lake	2016	1227921	Tahoe		Independence_Lake_2016	2055	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
SFH_LNG_2012_001	Humboldt/SF	Long_Canyon_Complex	2012	848700	Humboldt	South_Fork	Long_Canyon_Complex_2012	2056	-115.4622144	40.53733166	YES	Long Canyon	0.000000549	0.000000505	-0.088995215	0.0000183	0.0000176	2.1	1.3	2.6	972	345	2012	yes
3103-789	Willow_Whitehorse	Little_Whitehorse	2020	1067588	Willow_Whitehorse		Little_Whitehorse_2020	2057	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
NFH_FOR_2017_105	Humboldt/NF	Foreman	2017	212425	Humboldt	North_Fork	Foreman_2017	2058	-115.972648	41.47310367	YES	Foreman	0.00000117	0.00000101	-0.103193825	0.00003581	0.00003396	4	3.5	5.1	569	260	2009	yes
NFH_FOR_2017_014	Humboldt/NF	Foreman	2017	177348	Humboldt	North_Fork	Foreman_2017	2059	-115.972648	41.47310367	YES	Foreman	0.00000117	0.00000101	-0.103193825	0.00003581	0.00003396	4	3.5	5.1	569	260	2009	yes
Y170026CAR	Carson	EF_Carson_Golden_Canyon	2017	1213264	Carson		EF_Carson_Golden_Canyon_2017	2060	-119.82462	38.99074	YES	East Fork Carson & Golden Canyon	0.000000724	0.000000577	-0.1531849	0.0000174	0.0000192	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
